Date,Time,Type,Amount,Category,Description,Subcategory
2025-10-26,,Expense,80.000,Personal,motong baju,
2025-10-26,,Expense,47.800,Food,pudding,Jajan
2025-10-26,,Expense,55.000,Groceries,kopi jajan,Jajan
2025-10-26,,Income,16.000.000,Paycheck,telkomsel,
2025-10-27,,Expense,46.000,Utilities,galon,
2025-10-27,,Expense,27.000,Food,bubur,Meal
2025-10-27,,Income,14.765.229,Income,,
2025-10-27,,Income,1.234.771,Income,,
2025-10-28,,Expense,147.295,Groceries,sayur,Sayur Protein
2025-10-28,,Expense,33.100,Groceries,buah,Buah
2025-10-28,,Expense,44.000,Transportation,grab ke kantor,Kantor
2025-10-28,,Expense,23.500,Transportation,grab pulang,Kantor
2025-10-28,,Expense,200.000,Utilities,parkir member,
2025-10-28,,Expense,83.465,Personal,cd,
2025-10-29,,Expense,23.000,Transportation,grab ke kantor,Kantor
2025-10-29,,Expense,44.000,Transportation,grab pulang,Kantor
2025-10-30,,Expense,21.000,Transportation,grab ke kantor,Kantor
2025-10-30,,Expense,74.675,Home,shopee,
2025-10-31,,Expense,21.000,Transportation,grab ke kantor,Kantor
2025-10-31,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-01,,Expense,121.660,Groceries,protein,Sayur Protein
2025-11-01,,Expense,92.400,Groceries,buah,Buah
2025-11-01,,Expense,85.530,Groceries,dapur,Dapur
2025-11-01,,Expense,45.000,Groceries,jajan,Jajan
2025-11-01,,Expense,82.700,Groceries,rumah,Rumah
2025-11-01,,Expense,113.950,Food,ayam goreng,Meal
2025-11-01,,Expense,53.280,Utilities,google one,
2025-11-01,,Expense,37.000,Food,soto,Meal
2025-11-02,,Expense,388.000,Personal,parfum,
2025-11-02,,Expense,80.000,Food,matcha,Jajan
2025-11-02,,Expense,40.000,Food,onde,Jajan
2025-11-02,,Expense,60.000,Home,sticker,
2025-11-02,,Expense,125.000,Home,linen spray,
2025-11-02,,Expense,149.000,Home,totebag,
2025-11-02,,Expense,153.000,Food,bakmi gm,Meal
2025-11-02,,Expense,4.000.000,Rent,kontrakan,
2025-11-02,,Expense,28.000,Groceries,sayur,Sayur Protein
2025-11-02,,Expense,42.400,Groceries,shampoo,Rumah
2025-11-02,,Expense,80.320,Gifts,celana mamah,
2025-11-02,,Expense,29.000,Groceries,jajan,Jajan
2025-11-03,,Expense,21.000,Transportation,grab ke kantor,Kantor
2025-11-03,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-03,,Expense,430.000,Zakat,kitabisa,
2025-11-03,,Expense,16.000,Food,lekker,Jajan
2025-11-03,,Expense,15.000,Food,gorengan,Jajan
2025-11-03,,Expense,110.000,Gifts,patungan audina,
2025-11-04,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-04,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-04,,Expense,69.430,Home,shopee,
2025-11-04,,Expense,64.500,Food,tongseng,Meal
2025-11-05,,Expense,23.500,Transportation,grab ke kantor,Kantor
2025-11-05,,Expense,33.500,Transportation,grab pulang,Kantor
2025-11-05,,Expense,57.000,Groceries,sayur,Sayur Protein
2025-11-05,,Expense,62.000,Groceries,buah,Buah
2025-11-05,,Expense,1.047.939,Utilities,ipl dan listrik air,
2025-11-05,,Expense,20.000,Food,kopi,Kopi
2025-11-06,,Expense,20.500,Transportation,grab ke kantor,Kantor
2025-11-06,,Expense,24.000,Transportation,grab pulang,Kantor
2025-11-06,,Expense,37.000,Food,ayam tangkap,Meal
2025-11-06,,Expense,87.500,Laundry,laundry,
2025-11-06,,Expense,45.000,Food,kopi dan jajan,Kopi
2025-11-07,,Expense,34.000,Food,ayam cabe ijo,Meal
2025-11-07,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-07,,Expense,35.000,Transportation,grab pulang,Kantor
2025-11-07,,Expense,15.000,Food,telor gulung,Jajan
2025-11-08,,Expense,200.000,Utilities,emoney,
2025-11-08,,Expense,280.665,Food,bakmi sedjuk,Meal
2025-11-08,,Expense,125.000,Personal,kerudung,
2025-11-08,,Expense,15.000,Food,es teh,Jajan
2025-11-08,,Expense,197.690,Groceries,dapur,Dapur
2025-11-08,,Expense,113.260,Groceries,rumah,Rumah
2025-11-08,,Expense,23.480,Groceries,jajan,Jajan
2025-11-08,,Expense,30.840,Groceries,buah,Buah
2025-11-08,,Expense,36.320,Groceries,protein,Sayur Protein
2025-11-09,,Expense,25.000,Food,kopi,Kopi
2025-11-09,,Expense,5.800,Groceries,bumbu,Dapur
2025-11-09,,Expense,90.000,Food,soto,Meal
2025-11-09,,Expense,46.000,Utilities,galon,
2025-11-09,,Expense,55.000,Laundry,sepatu,
2025-11-09,,Expense,25.000,Food,kopi,Kopi
2025-11-10,,Expense,90.000,Groceries,sayur protein,Sayur Protein
2025-11-10,,Expense,23.000,Food,jajan,Jajan
2025-11-10,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-10,,Expense,27.000,Transportation,grab pulang,Kantor
2025-11-11,,Expense,380.952,Home,perintilan jpg,
2025-11-11,,Expense,43.000,Home,tokped,
2025-11-11,,Expense,113.907,Personal,kerudung,
2025-11-11,,Expense,5.000,Food,air,Jajan
2025-11-12,,Expense,28.500,Transportation,grab ke kantor,Kantor
2025-11-12,,Expense,31.500,Transportation,grab pulang,Kantor
2025-11-12,,Expense,45.000,Food,kopi,Kopi
2025-11-12,,Expense,59.000,Groceries,sayur,Sayur Protein
2025-11-12,,Expense,18.000,Groceries,buah,Buah
2025-11-12,,Expense,77.000,Groceries,sayur,Sayur Protein
2025-11-12,,Expense,120.000,Sport,gym,
2025-11-12,,Expense,10.000,Food,kopi,Kopi
2025-11-13,,Expense,34.500,Transportation,otw gym,
2025-11-13,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-13,,Expense,20.500,Transportation,grab pulang,Kantor
2025-11-13,,Expense,17.000,Food,tahu aci,Jajan
2025-11-13,,Expense,55.000,Food,tiramissu,Jajan
2025-11-13,,Expense,150.000,Groceries,sayur,Sayur Protein
2025-11-13,,Expense,12.000,Food,tahu aci,Jajan
2025-11-14,,Expense,96.000,Food,kopi,Kopi
2025-11-14,,Expense,74.800,Food,pisang,Jajan
2025-11-14,,Expense,260.850,Utilities,wifi plk,
2025-11-15,,Expense,135.500,Food,soto,Meal
2025-11-15,,Expense,45.000,Food,pocika jajan,Jajan
2025-11-15,,Expense,19.000,Groceries,buah,Buah
2025-11-15,,Expense,284.760,Transportation,bensin,
2025-11-15,,Expense,289.000,Food,bakmi gm,Meal
2025-11-15,,Expense,100.000,Food,maeko cheesecake,Jajan
2025-11-15,,Expense,35.000,Food,jus,Jajan
2025-11-16,,Expense,250.000,Gifts,rica rico,
2025-11-16,,Expense,200.000,Gifts,amplop nikah,
2025-11-16,,Expense,105.000,Food,cemilan kiloan,Jajan
2025-11-16,,Expense,35.000,Transportation,cuci mobil,
2025-11-16,,Expense,15.000,Groceries,sayur,Sayur Protein
2025-11-16,,Expense,27.000,Food,ayam 11 chicken,Meal
2025-11-17,,Expense,142.221,Home,shopee,
2025-11-17,,Expense,46.000,Transportation,otw bassura,
2025-11-17,,Expense,325.000,Personal,facial,Treatment
2025-11-17,,Expense,21.000,Food,ayam 11 chicken,Meal
2025-11-17,,Expense,24.000,Groceries,sayur,Sayur Protein
2025-11-17,,Expense,3.000,Groceries,sabun,Rumah
2025-11-17,,Expense,12.000,Groceries,jajan,Jajan
2025-11-17,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-17,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-18,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-18,,Expense,37.000,Transportation,grab pulang,Kantor
2025-11-19,,Expense,23.000,Transportation,grab ke kantor,Kantor
2025-11-19,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-19,,Expense,59.000,Groceries,sayur,Sayur Protein
2025-11-19,,Expense,20.000,Groceries,jajan,Jajan
2025-11-19,,Expense,48.740,Home,perintilan,
2025-11-20,,Expense,22.000,Transportation,grab ke kantor,Kantor
2025-11-20,,Expense,55.000,Groceries,sayur,Sayur Protein
2025-11-20,,Expense,9.000,Food,jajan,Jajan
2025-11-20,,Expense,10.000,Food,kopi,Kopi
2025-11-21,,Expense,24.000,Transportation,grab ke kantor,Kantor
2025-11-21,,Expense,23.500,Transportation,grab pulang,Kantor
2025-11-21,,Expense,40.000,Food,sate,Meal
2025-11-21,,Expense,20.000,Food,telur gulung,Jajan
2025-11-21,,Expense,10.000,Food,bakso,Jajan
2025-11-22,,Expense,135.000,Transportation,bluebird,
2025-11-22,,Expense,103.950,Food,bakmi sedjuk,Meal
2025-11-22,,Expense,64.650,Health/medical,masker dan obat,
2025-11-22,,Expense,28.000,Food,mako,Jajan
2025-11-22,,Expense,38.000,Food,mixue,Kopi
2025-11-22,,Expense,14.000,Food,pisang,Jajan
